# step lid M_Sigma Con_maxDiv C2
24400 1 16.4853 7.24754e-12 2.39275e+17
24600 1 21.9342 7.24754e-12 2.43802e+17
24800 1 28.9844 7.24754e-12 2.49912e+17
25000 1 16.8785 7.24754e-12 2.55128e+17
25200 1 15.0623 7.24754e-12 2.5973e+17
25400 1 21.8485 7.24754e-12 2.64663e+17
25600 1 35.9748 7.24754e-12 2.70985e+17
25800 1 28.644 7.24754e-12 2.79623e+17
26000 1 10.1469 7.24754e-12 2.78737e+17
26200 1 35.6657 7.24754e-12 2.84045e+17
26400 1 39.5292 7.24754e-12 2.93707e+17
26600 1 12.6041 7.24754e-12 2.99234e+17
26800 1 17.8437 7.24754e-12 2.94169e+17
27000 1 37.6923 7.24754e-12 2.98108e+17
27200 1 43.6188 7.24754e-12 3.08287e+17
27400 1 21.9085 7.24754e-12 3.18635e+17
27600 1 5.49598 7.24754e-12 3.18704e+17
27800 1 0.460731 7.24754e-12 3.20111e+17
28000 1 28.518 7.24754e-12 3.22674e+17
28200 1 17.419 7.24754e-12 3.31994e+17
28400 1 22.319 7.24754e-12 3.34814e+17
28600 1 36.0544 7.24754e-12 3.45521e+17
28800 1 11.8869 7.24754e-12 3.53885e+17
29000 1 30.1407 7.24754e-12 3.4974e+17
29200 1 22.0258 7.24754e-12 3.51986e+17
29400 1 32.063 7.24754e-12 3.62814e+17
29600 1 22.8986 7.24754e-12 3.68399e+17
29800 1 39.1366 7.24754e-12 3.79917e+17
30000 1 29.344 7.24754e-12 3.90587e+17
30200 1 23.4328 7.24754e-12 3.86359e+17
30400 1 6.77609 7.24754e-12 3.8318e+17
30600 1 45.1162 7.24754e-12 3.93915e+17
30800 1 24.8652 7.24754e-12 4.04326e+17
31000 1 42.3277 7.24754e-12 4.15426e+17
31200 1 15.4444 7.24754e-12 4.22967e+17
31400 1 31.7402 7.24754e-12 4.26517e+17
31600 1 40.8971 7.24754e-12 4.38859e+17
31800 1 30.4625 7.24754e-12 4.50794e+17
32000 1 11.0466 7.24754e-12 4.50227e+17
32200 1 1.84802 7.24754e-12 4.47459e+17
32400 1 45.9033 7.24754e-12 4.59732e+17
32600 1 35.4322 7.24754e-12 4.70593e+17
32800 1 38.019 7.24754e-12 4.83174e+17
33000 1 23.6811 7.24754e-12 4.93769e+17
33200 1 26.4807 7.24754e-12 5.02933e+17
33400 1 32.3851 7.24754e-12 5.13087e+17
33600 1 36.747 7.24754e-12 5.23688e+17
33800 1 30.7792 7.24754e-12 5.36792e+17
34000 1 7.33481 7.24754e-12 5.3942e+17
34200 1 42.9965 7.24754e-12 5.49552e+17
34400 1 32.2441 7.24754e-12 5.64238e+17
