# step lid M_Sigma Con_maxDiv C2
24400 1 22.379 7.30438e-12 2.44236e+17
24600 1 18.7593 7.30438e-12 2.49433e+17
24800 1 17.655 7.30438e-12 2.54198e+17
25000 1 20.4564 7.30438e-12 2.5906e+17
25200 1 24.2419 7.30438e-12 2.65291e+17
25400 1 17.2718 7.30438e-12 2.70174e+17
25600 1 19.8929 7.30438e-12 2.75211e+17
25800 1 23.4492 7.30438e-12 2.80893e+17
26000 1 24.814 7.30438e-12 2.8764e+17
26200 1 24.4977 7.30438e-12 2.93159e+17
26400 1 10.8038 7.30438e-12 2.98864e+17
26600 1 22.9327 7.30438e-12 3.03172e+17
26800 1 1.02632 7.30438e-12 3.08576e+17
27000 1 9.72677 7.30438e-12 3.04842e+17
27200 1 37.1651 7.30438e-12 3.09241e+17
27400 1 52.832 7.30438e-12 3.18657e+17
27600 1 38.9996 7.30438e-12 3.28379e+17
27800 1 34.7102 7.30438e-12 3.37367e+17
28000 1 6.96759 7.30438e-12 3.44913e+17
28200 1 23.1681 7.30438e-12 3.42398e+17
28400 1 17.0859 7.30438e-12 3.39009e+17
28600 1 50.8517 7.30438e-12 3.46921e+17
28800 1 37.8189 7.30438e-12 3.58094e+17
29000 1 20.3633 7.30438e-12 3.68077e+17
29200 1 15.6355 7.30438e-12 3.66074e+17
29400 1 8.98794 7.30438e-12 3.65454e+17
29600 1 38.9814 7.30438e-12 3.76124e+17
29800 1 19.7912 7.30438e-12 3.86073e+17
30000 1 9.25428 7.30438e-12 3.88495e+17
30200 1 1.47442 7.30438e-12 3.95072e+17
30400 1 22.2538 7.30438e-12 3.9638e+17
30600 1 38.0663 7.30438e-12 4.08064e+17
30800 1 20.5722 7.30438e-12 4.18559e+17
31000 1 14.5151 7.30438e-12 4.14063e+17
31200 1 6.58491 7.30438e-12 4.10692e+17
31400 1 52.3786 7.30438e-12 4.20247e+17
31600 1 32.9144 7.30438e-12 4.32954e+17
31800 1 17.6824 7.30438e-12 4.43066e+17
32000 1 2.82883 7.30438e-12 4.39606e+17
32200 1 23.6556 7.30438e-12 4.45414e+17
32400 1 56.3294 7.30438e-12 4.57104e+17
32600 1 27.1376 7.30438e-12 4.70493e+17
32800 1 8.11418 7.30438e-12 4.78019e+17
33000 1 2.46556 7.30438e-12 4.7354e+17
33200 1 26.4558 7.30438e-12 4.84185e+17
33400 1 51.2043 7.30438e-12 4.93899e+17
33600 1 38.722 7.30438e-12 5.07739e+17
33800 1 14.751 7.30438e-12 5.19053e+17
34000 1 0.00411307 7.30438e-12 5.14882e+17
34200 1 21.5043 7.30438e-12 5.24127e+17
34400 1 40.3204 7.30438e-12 5.32722e+17
